#Release 14.5 - par P.58f (nt)
#Copyright (c) 1995-2012 Xilinx, Inc.  All rights reserved.

#Mon Apr 06 00:03:24 2020

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       Reg_File_map.ncd
#OUTPUT FILE:      Reg_File_pad.csv
#PART TYPE:        xc7a100t
#SPEED GRADE:      -3
#PACKAGE:          csg324
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
C11,,IOB33M,IO_L13P_T2_MRCC_16,UNUSED,,16,,,,,,,,,
C12,,IOB33M,IO_L3P_T0_DQS_AD1P_15,UNUSED,,15,,,,,,,,,
C13,,,VCCO_15,,,15,,,,,1.80,,,,
C14,,IOB33S,IO_L1N_T0_AD0N_15,UNUSED,,15,,,,,,,,,
C15,,IOB33S,IO_L12N_T1_MRCC_15,UNUSED,,15,,,,,,,,,
C16,write_ena,IOB,IO_L20P_T3_A20_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
C17,tmp2<0>,IOB,IO_L20N_T3_A19_15,TRISTATE,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
C18,,,GND,,,,,,,,,,,,
D1,,,GND,,,,,,,,,,,,
D2,data2<28>,IOB,IO_L14N_T2_SRCC_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
D3,data2<24>,IOB,IO_L12N_T1_MRCC_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
D4,data2<22>,IOB,IO_L11N_T1_SRCC_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
D5,data2<21>,IOB,IO_L11P_T1_SRCC_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
D6,,,VCCO_35,,,35,,,,,1.80,,,,
D7,data2<12>,IOB,IO_L6N_T0_VREF_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
D8,data2<7>,IOB,IO_L4P_T0_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
D9,,IOB33S,IO_L6N_T0_VREF_16,UNUSED,,16,,,,,,,,,
D10,,IOB33S,IO_L19N_T3_VREF_16,UNUSED,,16,,,,,,,,,
D11,,,GND,,,,,,,,,,,,
D12,,IOB33M,IO_L6P_T0_15,UNUSED,,15,,,,,,,,,
D13,,IOB33S,IO_L6N_T0_VREF_15,UNUSED,,15,,,,,,,,,
D14,,IOB33M,IO_L1P_T0_AD0P_15,UNUSED,,15,,,,,,,,,
D15,,IOB33M,IO_L12P_T1_MRCC_15,UNUSED,,15,,,,,,,,,
D16,,,VCCO_15,,,15,,,,,1.80,,,,
D17,,IOB33S,IO_L16N_T2_A27_15,UNUSED,,15,,,,,,,,,
D18,tmp2<4>,IOB,IO_L21N_T3_DQS_A18_15,TRISTATE,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
E1,tmp<0>,IOB,IO_L18N_T2_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
E2,data2<27>,IOB,IO_L14P_T2_SRCC_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
E3,data2<23>,IOB,IO_L12P_T1_MRCC_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
E4,,,GND,,,,,,,,,,,,
E5,data2<10>,IOB,IO_L5N_T0_AD13N_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
E6,data2<9>,IOB,IO_L5P_T0_AD13P_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
E7,data2<11>,IOB,IO_L6P_T0_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
E8,,,VCCBATT_0,,,,,,,,,,,,
E9,,,CCLK_0,,,,,,,,,,,,
E10,,,TCK_0,,,,,,,,,,,,
E11,,,TDI_0,,,,,,,,,,,,
E12,,,TMS_0,,,,,,,,,,,,
E13,,,TDO_0,,,,,,,,,,,,
E14,,,GND,,,,,,,,,,,,
E15,,IOB33M,IO_L11P_T1_SRCC_15,UNUSED,,15,,,,,,,,,
E16,,IOB33S,IO_L11N_T1_SRCC_15,UNUSED,,15,,,,,,,,,
E17,,IOB33M,IO_L16P_T2_A28_15,UNUSED,,15,,,,,,,,,
E18,tmp2<3>,IOB,IO_L21P_T3_DQS_15,TRISTATE,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
F1,tmp<8>,IOB,IO_L18P_T2_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
F2,,,VCCO_35,,,35,,,,,1.80,,,,
F3,data2<26>,IOB,IO_L13N_T2_MRCC_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
F4,data2<25>,IOB,IO_L13P_T2_MRCC_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
F5,data2<0>,IOB,IO_0_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
F6,tmp<4>,IOB,IO_L19N_T3_VREF_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
F7,,,GND,,,,,,,,,,,,
F8,,,VCCINT,,,,,,,,1.0,,,,
F9,,,GND,,,,,,,,,,,,
F10,,,VCCBRAM,,,,,,,,,,,,
F11,,,GND,,,,,,,,,,,,
F12,,,VCCAUX,,,,,,,,1.8,,,,
F13,,IOB33M,IO_L5P_T0_AD9P_15,UNUSED,,15,,,,,,,,,
F14,,IOB33S,IO_L5N_T0_AD9N_15,UNUSED,,15,,,,,,,,,
F15,,IOB33M,IO_L14P_T2_SRCC_15,UNUSED,,15,,,,,,,,,
F16,,IOB33S,IO_L14N_T2_SRCC_15,UNUSED,,15,,,,,,,,,
F17,,,GND,,,,,,,,,,,,
F18,tmp2<2>,IOB,IO_L22N_T3_A16_15,TRISTATE,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
G1,tmp<7>,IOB,IO_L17N_T2_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
G2,data2<30>,IOB,IO_L15N_T2_DQS_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
G3,tmp<3>,IOB,IO_L20N_T3_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
G4,tmp<1>,IOB,IO_L20P_T3_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
G5,,,VCCO_35,,,35,,,,,1.80,,,,
G6,tmp<2>,IOB,IO_L19P_T3_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
G7,,,VCCINT,,,,,,,,1.0,,,,
G8,,,GND,,,,,,,,,,,,
G9,,,VCCINT,,,,,,,,1.0,,,,
G10,,,GND,,,,,,,,,,,,
G11,,,VCCBRAM,,,,,,,,,,,,
G12,,,GND,,,,,,,,,,,,
G13,,IOB33,IO_0_15,UNUSED,,15,,,,,,,,,
G14,,IOB33S,IO_L15N_T2_DQS_ADV_B_15,UNUSED,,15,,,,,,,,,
G15,,,VCCO_15,,,15,,,,,1.80,,,,
G16,,IOB33S,IO_L13N_T2_MRCC_15,UNUSED,,15,,,,,,,,,
G17,,IOB33S,IO_L18N_T2_A23_15,UNUSED,,15,,,,,,,,,
G18,tmp2<1>,IOB,IO_L22P_T3_A17_15,TRISTATE,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
H1,tmp<5>,IOB,IO_L17P_T2_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
H2,data2<29>,IOB,IO_L15P_T2_DQS_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
H3,,,GND,,,,,,,,,,,,
H4,write_sel<3>,IOB,IO_L21N_T3_DQS_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
H5,write_sel<2>,IOB,IO_L24N_T3_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
H6,tmp<14>,IOB,IO_L24P_T3_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
H7,,,GND,,,,,,,,,,,,
H8,,,VCCINT,,,,,,,,1.0,,,,
H9,,,GNDADC_0,,,,,,,,,,,,
H10,,,VCCADC_0,,,,,,,,,,,,
H11,,,GND,,,,,,,,,,,,
H12,,,VCCAUX,,,,,,,,1.8,,,,
H13,,,GND,,,,,,,,,,,,
H14,,IOB33M,IO_L15P_T2_DQS_15,UNUSED,,15,,,,,,,,,
H15,,IOB33S,IO_L19N_T3_A21_VREF_15,UNUSED,,15,,,,,,,,,
H16,,IOB33M,IO_L13P_T2_MRCC_15,UNUSED,,15,,,,,,,,,
H17,,IOB33M,IO_L18P_T2_A24_15,UNUSED,,15,,,,,,,,,
H18,,,VCCO_15,,,15,,,,,1.80,,,,
J1,,,VCCO_35,,,35,,,,,1.80,,,,
J2,tmp<9>,IOB,IO_L22N_T3_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
J3,tmp<10>,IOB,IO_L22P_T3_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
J4,write_sel<4>,IOB,IO_L21P_T3_DQS_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
J5,tmp<13>,IOB,IO_25_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
J6,,,GND,,,,,,,,,,,,
J7,,,VCCINT,,,,,,,,1.0,,,,
J8,,,GND,,,,,,,,,,,,
J9,,,VREFN_0,,,,,,,,,,,,
J10,,IPAD,VP_0,UNUSED,,0,,,,,,,,,
J11,,,VCCINT,,,,,,,,1.0,,,,
J12,,,GND,,,,,,,,,,,,
J13,,IOB33S,IO_L17N_T2_A25_15,UNUSED,,15,,,,,,,,,
J14,,IOB33M,IO_L19P_T3_A22_15,UNUSED,,15,,,,,,,,,
J15,,IOB33S,IO_L24N_T3_RS0_15,UNUSED,,15,,,,,,,,,
J16,,,GND,,,,,,,,,,,,
J17,,IOB33M,IO_L23P_T3_FOE_B_15,UNUSED,,15,,,,,,,,,
J18,,IOB33S,IO_L23N_T3_FWE_B_15,UNUSED,,15,,,,,,,,,
K1,tmp<11>,IOB,IO_L23N_T3_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
K2,tmp<12>,IOB,IO_L23P_T3_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
K3,tmp<18>,IOB,IO_L2P_T0_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
K4,,,VCCO_34,,,34,,,,,1.80,,,,
K5,tmp<23>,IOB,IO_L5P_T0_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
K6,tmp<16>,IOB,IO_0_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
K7,,,GND,,,,,,,,,,,,
K8,,,VCCINT,,,,,,,,1.0,,,,
K9,,IPAD,VN_0,UNUSED,,0,,,,,,,,,
K10,,,VREFP_0,,,,,,,,,,,,
K11,,,GND,,,,,,,,,,,,
K12,,,VCCAUX,,,,,,,,1.8,,,,
K13,,IOB33M,IO_L17P_T2_A26_15,UNUSED,,15,,,,,,,,,
K14,,,VCCO_15,,,15,,,,,1.80,,,,
K15,,IOB33M,IO_L24P_T3_RS1_15,UNUSED,,15,,,,,,,,,
K16,,IOB33,IO_25_15,UNUSED,,15,,,,,,,,,
K17,,IOB33M,IO_L1P_T0_D00_MOSI_14,UNUSED,,14,,,,,,,,,
K18,,IOB33S,IO_L1N_T0_D01_DIN_14,UNUSED,,14,,,,,,,,,
L1,tmp<15>,IOB,IO_L1P_T0_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
L2,,,GND,,,,,,,,,,,,
L3,tmp<20>,IOB,IO_L2N_T0_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
L4,tmp<26>,IOB,IO_L5N_T0_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
L5,tmp<25>,IOB,IO_L6N_T0_VREF_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
L6,tmp<28>,IOB,IO_L6P_T0_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
L7,,,VCCINT,,,,,,,,1.0,,,,
L8,,,GND,,,,,,,,,,,,
L9,,,DXN_0,,,,,,,,,,,,
L10,,,DXP_0,,,,,,,,,,,,
L11,,,VCCINT,,,,,,,,1.0,,,,
L12,,,GND,,,,,,,,,,,,
L13,tmp2<9>,IOB,IO_L6P_T0_FCS_B_14,TRISTATE,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
L14,,IOB33M,IO_L2P_T0_D02_14,UNUSED,,14,,,,,,,,,
L15,,IOB33M,IO_L3P_T0_DQS_PUDC_B_14,UNUSED,,14,,,,,,,,,
L16,data1<31>,IOB,IO_L3N_T0_DQS_EMCCLK_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
L17,,,VCCO_14,,,14,,,,,1.80,,,,
L18,tmp2<5>,IOB,IO_L4P_T0_D04_14,TRISTATE,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
M1,tmp<17>,IOB,IO_L1N_T0_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
M2,tmp<24>,IOB,IO_L4N_T0_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
M3,tmp<21>,IOB,IO_L4P_T0_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
M4,data1<12>,IOB,IO_L16P_T2_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
M5,,,GND,,,,,,,,,,,,
M6,data1<16>,IOB,IO_L18P_T2_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
M7,,,GND,,,,,,,,,,,,
M8,,,VCCINT,,,,,,,,1.0,,,,
M9,,,GND,,,,,,,,,,,,
M10,,,VCCINT,,,,,,,,1.0,,,,
M11,,,GND,,,,,,,,,,,,
M12,,,VCCAUX,,,,,,,,1.8,,,,
M13,tmp2<10>,IOB,IO_L6N_T0_D08_VREF_14,TRISTATE,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
M14,,IOB33S,IO_L2N_T0_D03_14,UNUSED,,14,,,,,,,,,
M15,,,GND,,,,,,,,,,,,
M16,tmp2<17>,IOB,IO_L10P_T1_D14_14,TRISTATE,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
M17,tmp2<18>,IOB,IO_L10N_T1_D15_14,TRISTATE,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
M18,tmp2<6>,IOB,IO_L4N_T0_D05_14,TRISTATE,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
N1,tmp<22>,IOB,IO_L3N_T0_DQS_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
N2,tmp<19>,IOB,IO_L3P_T0_DQS_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
N3,,,VCCO_34,,,34,,,,,1.80,,,,
N4,data1<13>,IOB,IO_L16N_T2_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
N5,data1<6>,IOB,IO_L13P_T2_MRCC_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
N6,data1<17>,IOB,IO_L18N_T2_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
N7,,,VCCINT,,,,,,,,1.0,,,,
N8,,,GND,,,,,,,,,,,,
N9,,,VCCINT,,,,,,,,1.0,,,,
N10,,,GND,,,,,,,,,,,,
N11,,,VCCINT,,,,,,,,1.0,,,,
N12,,,GND,,,,,,,,,,,,
N13,,,VCCO_14,,,14,,,,,1.80,,,,
N14,tmp2<13>,IOB,IO_L8P_T1_D11_14,TRISTATE,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
N15,tmp2<19>,IOB,IO_L11P_T1_SRCC_14,TRISTATE,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
N16,tmp2<20>,IOB,IO_L11N_T1_SRCC_14,TRISTATE,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
N17,tmp2<15>,IOB,IO_L9P_T1_DQS_14,TRISTATE,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
N18,,,GND,,,,,,,,,,,,
P1,,,GND,,,,,,,,,,,,
P2,data1<10>,IOB,IO_L15P_T2_DQS_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
P3,data1<9>,IOB,IO_L14N_T2_SRCC_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
P4,data1<8>,IOB,IO_L14P_T2_SRCC_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
P5,data1<7>,IOB,IO_L13N_T2_MRCC_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
P6,,,VCCO_34,,,34,,,,,1.80,,,,
P7,,,INIT_B_0,,,,,,,,,,,,
P8,,,CFGBVS_0,,,,,,,,,,,,
P9,,,PROGRAM_B_0,,,,,,,,,,,,
P10,,,DONE_0,,,,,,,,,,,,
P11,,,M2_0,,,,,,,,,,,,
P12,,,M0_0,,,,,,,,,,,,
P13,,,M1_0,,,,,,,,,,,,
P14,tmp2<14>,IOB,IO_L8N_T1_D12_14,TRISTATE,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
P15,tmp2<23>,IOB,IO_L13P_T2_MRCC_14,TRISTATE,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
P16,,,VCCO_14,,,14,,,,,1.80,,,,
P17,tmp2<21>,IOB,IO_L12P_T1_MRCC_14,TRISTATE,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
P18,tmp2<16>,IOB,IO_L9N_T1_DQS_D13_14,TRISTATE,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
R1,data1<14>,IOB,IO_L17P_T2_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
R2,data1<11>,IOB,IO_L15N_T2_DQS_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
R3,data1<2>,IOB,IO_L11P_T1_SRCC_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
R4,,,GND,,,,,,,,,,,,
R5,data1<19>,IOB,IO_L19N_T3_VREF_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
R6,data1<18>,IOB,IO_L19P_T3_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
R7,data1<26>,IOB,IO_L23P_T3_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
R8,data1<28>,IOB,IO_L24P_T3_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
R9,,,VCCO_0,,,0,,,,,any******,,,,
R10,,IOB33,IO_25_14,UNUSED,,14,,,,,,,,,
R11,,IOB33,IO_0_14,UNUSED,,14,,,,,,,,,
R12,tmp2<7>,IOB,IO_L5P_T0_D06_14,TRISTATE,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
R13,tmp2<8>,IOB,IO_L5N_T0_D07_14,TRISTATE,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
R14,,,GND,,,,,,,,,,,,
R15,tmp2<24>,IOB,IO_L13N_T2_MRCC_14,TRISTATE,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
R16,tmp2<27>,IOB,IO_L15P_T2_DQS_RDWR_B_14,TRISTATE,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
R17,tmp2<22>,IOB,IO_L12N_T1_MRCC_14,TRISTATE,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
R18,tmp2<11>,IOB,IO_L7P_T1_D09_14,TRISTATE,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
T1,data1<15>,IOB,IO_L17N_T2_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
T2,,,VCCO_34,,,34,,,,,1.80,,,,
T3,data1<3>,IOB,IO_L11N_T1_SRCC_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
T4,data1<5>,IOB,IO_L12N_T1_MRCC_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
T5,data1<4>,IOB,IO_L12P_T1_MRCC_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
